,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,94,63,3,28,462,382,89.5,0.0,1
키움,95,57,2,36,403,358,82.5,7.0,2
LG,92,55,1,36,472,377,81.5,8.0,3
KT,92,49,2,41,402,371,76.0,13.5,4
KIA,92,47,1,44,475,423,73.5,16.0,5
두산,91,40,2,49,430,438,67.5,22.0,6
롯데,94,39,4,51,393,464,66.0,23.5,7
NC,91,37,3,51,379,413,65.0,24.5,8
삼성,94,38,2,54,407,480,64.0,25.5,9
한화,93,28,2,63,380,497,54.5,35.0,10
