,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,99,66,3,30,485,404,90.0,0.0,1
키움,100,59,2,39,427,392,82.0,8.0,2
LG,97,58,1,38,510,395,82.0,8.0,2
KT,96,52,2,42,429,380,77.0,13.0,4
KIA,97,48,1,48,493,447,72.0,18.0,5
두산,95,43,2,50,447,455,68.5,21.5,6
롯데,99,41,4,54,408,495,65.5,24.5,7
NC,95,39,3,53,397,439,65.0,25.0,8
삼성,98,40,2,56,426,493,64.0,26.0,9
한화,98,30,2,66,395,517,54.0,36.0,10
