,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
두산,2,2,0,0,7,4,73.0,0.0,1
LG,2,2,0,0,12,2,73.0,0.0,1
SSG,2,2,0,0,8,1,73.0,0.0,1
KT,2,1,0,1,9,7,72.0,1.0,4
롯데,2,1,0,1,10,6,72.0,1.0,4
키움,2,1,0,1,6,10,72.0,1.0,4
삼성,2,1,0,1,7,9,72.0,1.0,4
NC,2,0,0,2,1,8,71.0,2.0,8
KIA,2,0,0,2,2,12,71.0,2.0,8
한화,2,0,0,2,4,7,71.0,2.0,8
