,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,9,9,0,0,50,17,76.5,0.0,1
LG,9,7,0,2,42,24,74.5,2.0,2
두산,9,6,0,3,36,32,73.5,3.0,3
키움,9,5,0,4,31,31,72.5,4.0,4
롯데,9,4,0,5,31,33,71.5,5.0,5
삼성,9,4,0,5,32,31,71.5,5.0,5
KIA,9,4,0,5,32,49,71.5,5.0,5
KT,9,2,0,7,27,40,69.5,7.0,8
NC,9,2,0,7,21,38,69.5,7.0,8
한화,9,2,0,7,28,35,69.5,7.0,8
