,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,121,78,4,39,594,493,91.5,0.0,1
LG,117,72,2,43,612,451,86.5,5.0,2
KT,121,68,2,51,539,460,80.5,11.0,3
키움,124,69,2,53,526,526,80.0,11.5,4
KIA,120,59,1,60,615,563,71.5,20.0,5
롯데,123,54,4,65,514,613,66.5,25.0,6
NC,117,51,3,63,530,542,66.0,25.5,7
삼성,120,52,2,66,528,599,65.0,26.5,8
두산,117,48,2,67,515,577,62.5,29.0,9
한화,120,37,2,81,489,638,50.0,41.5,10
