,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,6,6,0,0,26,9,75.0,0.0,1
LG,6,5,0,1,29,11,74.0,1.0,2
두산,6,4,0,2,25,23,73.0,2.0,3
삼성,6,3,0,3,25,22,72.0,3.0,4
롯데,6,3,0,3,18,19,72.0,3.0,4
KIA,6,3,0,3,19,24,72.0,3.0,4
KT,6,2,0,4,21,24,71.0,4.0,7
NC,6,2,0,4,12,16,71.0,4.0,7
키움,6,2,0,4,12,26,71.0,4.0,7
한화,6,0,0,6,15,28,69.0,6.0,10
