,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,87,58,3,26,434,344,88.0,0.0,1
키움,88,55,1,32,377,322,83.5,4.5,2
LG,85,52,1,32,432,343,82.0,6.0,3
KT,85,44,2,39,362,341,74.5,13.5,4
KIA,84,43,1,40,413,388,73.5,14.5,5
롯데,86,38,3,45,358,391,68.5,19.5,6
두산,85,36,2,47,398,408,66.5,21.5,7
삼성,86,35,0,51,362,436,64.0,24.0,8
NC,84,33,2,49,340,383,64.0,24.0,8
한화,86,26,1,59,345,465,55.5,32.5,10
