,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,118,77,3,38,583,483,91.5,0.0,1
LG,114,71,1,42,590,440,86.5,5.0,2
키움,121,68,2,51,519,512,80.5,11.0,3
KT,117,64,2,51,516,450,78.5,13.0,4
KIA,116,58,1,57,597,540,72.5,19.0,5
롯데,120,53,4,63,501,584,67.0,24.5,6
NC,113,49,3,61,506,517,66.0,25.5,7
두산,114,48,2,64,506,553,64.0,27.5,8
삼성,117,49,2,66,511,593,63.5,28.0,9
한화,116,35,2,79,465,622,50.0,41.5,10
