,경기수,승리,무승부,패배,승점,게임차,순위
SSG,93,62,3,28,89.0,0.0,1
키움,95,57,2,36,82.5,6.5,2
LG,92,55,1,36,81.5,7.5,3
KT,92,49,2,41,76.0,13.0,4
KIA,91,47,1,43,74.0,15.0,5
두산,91,40,2,49,67.5,21.5,6
롯데,93,39,3,51,66.0,23.0,7
NC,91,37,3,51,65.0,24.0,8
삼성,93,38,1,54,64.0,25.0,9
한화,93,28,2,63,54.5,34.5,10
