,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,32,23,1,8,147,102,79.5,0.0,1
LG,32,18,0,14,139,123,74.0,5.5,2
두산,31,17,0,14,127,126,73.5,6.0,3
롯데,31,16,1,14,117,117,73.0,6.5,4
키움,32,17,0,15,119,120,73.0,6.5,4
삼성,32,16,0,16,146,136,72.0,7.5,6
KIA,31,15,0,16,146,129,71.5,8.0,7
KT,31,15,0,16,131,124,71.5,8.0,7
한화,32,11,0,21,113,162,67.0,12.5,9
NC,32,9,0,23,116,162,65.0,14.5,10
