,경기수,승리,무승부,패배,승점,게임차
SSG,51,34,2,15,81.5,0.0
키움,51,31,0,20,77.5,4.0
KIA,50,28,0,22,75.0,6.5
LG,51,28,0,23,74.5,7.0
두산,49,24,1,24,72.0,9.5
삼성,50,24,0,26,71.0,10.5
롯데,50,23,1,26,70.5,11.0
KT,50,22,0,28,69.0,12.5
한화,51,19,0,32,65.5,16.0
NC,51,17,0,34,63.5,18.0
