,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,109,73,3,33,545,449,92.0,0.0,1
LG,105,64,1,40,556,425,84.0,8.0,2
키움,111,61,2,48,467,460,78.5,13.5,3
KT,108,59,2,47,483,420,78.0,14.0,4
KIA,107,53,1,53,548,505,72.0,20.0,5
NC,104,46,3,55,467,476,67.5,24.5,6
롯데,110,48,4,58,447,539,67.0,25.0,7
두산,105,46,2,57,487,506,66.5,25.5,8
삼성,108,44,2,62,473,551,63.0,29.0,9
한화,107,32,2,73,439,581,51.5,40.5,10
