,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,8,8,0,0,46,16,76.0,0.0,1
LG,8,7,0,1,41,20,75.0,1.0,2
두산,8,5,0,3,33,31,73.0,3.0,3
롯데,8,4,0,4,26,27,72.0,4.0,4
키움,8,4,0,4,21,31,72.0,4.0,4
삼성,8,3,0,5,30,31,71.0,5.0,6
KIA,8,3,0,5,26,44,71.0,5.0,6
NC,8,2,0,6,21,28,70.0,6.0,8
KT,8,2,0,6,26,37,70.0,6.0,8
한화,8,2,0,6,28,33,70.0,6.0,8
