,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,112,75,3,34,560,459,92.5,0.0,1
LG,108,65,1,42,569,434,83.5,9.0,2
KT,111,62,2,47,495,426,79.5,13.0,3
키움,114,63,2,49,491,491,79.0,13.5,4
KIA,110,55,1,54,571,519,72.5,20.0,5
롯데,113,50,4,59,463,552,67.5,25.0,6
NC,107,46,3,58,480,497,66.0,26.5,7
두산,108,46,2,60,489,517,65.0,27.5,8
삼성,111,45,2,64,487,567,62.5,30.0,9
한화,110,34,2,74,451,594,52.0,40.5,10
