,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,25,19,1,5,113,68,79.0,0.0,1
롯데,24,14,1,9,98,86,74.5,4.5,2
LG,25,14,0,11,105,89,73.5,5.5,3
키움,25,14,0,11,88,91,73.5,5.5,3
두산,24,13,0,11,90,97,73.0,6.0,5
KT,24,11,0,13,91,92,71.0,8.0,6
KIA,24,10,0,14,103,100,70.0,9.0,7
삼성,25,10,0,15,105,113,69.5,9.5,8
한화,25,9,0,16,85,113,68.5,10.5,9
NC,25,8,0,17,85,114,67.5,11.5,10
