,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,18,15,0,3,88,44,78.0,0.0,1
LG,18,11,0,7,76,62,74.0,4.0,2
두산,17,10,0,7,59,62,73.5,4.5,3
키움,18,10,0,8,63,63,73.0,5.0,4
롯데,17,9,0,8,69,65,72.5,5.5,5
KIA,17,8,0,9,67,73,71.5,6.5,6
KT,17,7,0,10,66,65,70.5,7.5,7
삼성,18,7,0,11,79,78,70.0,8.0,8
한화,18,6,0,12,63,87,69.0,9.0,9
NC,18,5,0,13,53,84,68.0,10.0,10
