,경기수,승리,무승부,패배,승점,게임차,순위
SSG,69,42,3,24,81.0,0.0,1
키움,68,40,1,27,78.5,2.5,2
LG,68,39,1,28,77.5,3.5,3
KIA,66,35,1,30,74.5,6.5,4
KT,68,33,2,33,72.0,9.0,5
삼성,67,32,0,35,70.5,10.5,6
두산,66,31,1,34,70.5,10.5,7
롯데,66,29,2,35,69.0,12.0,8
NC,67,26,2,39,65.5,15.5,9
한화,67,22,1,44,61.0,20.0,10
