,경기수,승리,무승부,패배,승점,게임차,순위
SSG,137,86,4,47,91.5,0.0,1
LG,133,82,2,49,88.5,3.0,2
키움,140,78,2,60,81.0,10.5,3
KT,136,75,2,59,80.0,11.5,4
KIA,136,65,1,70,69.5,22.0,5
NC,134,61,3,70,67.5,24.0,6
롯데,138,61,4,73,66.0,25.5,7
삼성,135,60,2,73,65.5,26.0,8
두산,134,56,2,76,62.0,29.5,9
한화,137,44,2,91,48.5,43.0,10
