,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,84,55,3,26,422,340,86.5,0.0,1
키움,85,54,1,30,370,309,84.0,2.5,2
LG,82,51,1,30,421,329,82.5,4.0,3
KT,82,42,2,38,357,330,74.0,12.5,4
KIA,81,41,1,39,399,379,73.0,13.5,5
롯데,82,35,3,44,341,377,67.5,19.0,6
두산,81,34,2,45,375,393,66.5,20.0,7
삼성,83,35,0,48,357,428,65.5,21.0,8
NC,80,31,2,47,321,356,64.0,22.5,9
한화,82,25,1,56,328,450,56.5,30.0,10
