,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,41,27,2,12,191,142,79.5,0.0,1
LG,41,25,0,16,194,156,76.5,3.0,2
삼성,40,22,0,18,175,157,74.0,5.5,3
키움,41,22,0,19,154,163,73.5,6.0,4
두산,39,20,1,18,161,160,73.0,6.5,5
KIA,40,21,0,19,196,167,73.0,6.5,5
롯데,40,20,1,19,164,163,72.5,7.0,7
KT,40,17,0,23,158,168,69.0,10.5,8
NC,41,13,0,28,160,205,64.5,15.0,9
한화,41,13,0,28,145,217,64.5,15.0,9
