,경기수,승리,무승부,패배,승점,게임차,순위
SSG,13,12,0,1,77.5,0.0,1
LG,13,9,0,4,74.5,3.0,2
두산,12,8,0,4,74.0,3.5,3
키움,13,8,0,5,73.5,4.0,4
롯데,12,6,0,6,72.0,5.5,5
삼성,13,6,0,7,71.5,6.0,6
KIA,12,5,0,7,71.0,6.5,7
KT,12,3,0,9,69.0,8.5,8
한화,13,3,0,10,68.5,9.0,9
NC,13,3,0,10,68.5,9.0,10
