,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,78,50,3,25,376,304,84.5,0.0,1
키움,79,50,1,28,347,294,83.0,1.5,2
LG,76,45,1,30,368,300,79.5,5.0,3
KT,78,39,2,37,339,316,73.0,11.5,4
KIA,77,38,1,38,381,360,72.0,12.5,5
삼성,77,35,0,42,318,374,68.5,16.0,6
롯데,76,33,3,40,312,350,68.5,16.0,6
두산,75,32,2,41,353,357,67.5,17.0,8
NC,74,29,2,43,302,326,65.0,19.5,9
한화,76,24,1,51,302,417,58.5,26.0,10
