,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,115,76,3,36,575,475,92.0,0.0,1
LG,111,68,1,42,580,435,85.0,7.0,2
KT,114,63,2,49,509,443,79.0,13.0,3
키움,118,65,2,51,503,507,79.0,13.0,3
KIA,113,56,1,56,584,530,72.0,20.0,5
롯데,117,52,4,61,480,573,67.5,24.5,6
NC,110,48,3,59,497,505,66.5,25.5,7
두산,111,47,2,62,498,531,64.5,27.5,8
삼성,114,47,2,65,502,583,63.0,29.0,9
한화,113,35,2,76,461,607,51.5,40.5,10
