,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,80,51,3,26,385,319,84.5,0.0,1
키움,81,51,1,29,353,302,83.0,1.5,2
LG,78,47,1,30,382,310,80.5,4.0,3
KT,79,40,2,37,347,317,73.5,11.0,4
KIA,78,38,1,39,382,368,71.5,13.0,5
롯데,78,34,3,41,327,359,68.5,16.0,6
삼성,79,35,0,44,328,388,67.5,17.0,7
두산,77,33,2,42,361,363,67.5,17.0,7
NC,76,31,2,43,307,329,66.0,18.5,9
한화,78,24,1,53,305,422,57.5,27.0,10
