,경기수,승리,무승부,패배,승점,게임차,순위
SSG,47,32,2,13,81.5,0.0,1
키움,47,27,0,20,75.5,6.0,2
KIA,46,26,0,20,75.0,6.5,3
LG,47,26,0,21,74.5,7.0,4
삼성,46,23,0,23,72.0,9.5,5
두산,45,22,1,22,72.0,9.5,6
롯데,46,22,1,23,71.5,10.0,7
KT,46,21,0,25,70.0,11.5,8
한화,47,16,0,31,64.5,17.0,9
NC,47,15,0,32,63.5,18.0,10
