,경기수,승리,무승부,패배,승점,게임차,순위
SSG,48,33,2,13,82.0,0.0,1
키움,48,28,0,20,76.0,6.0,2
LG,48,27,0,21,75.0,7.0,3
KIA,47,26,0,21,74.5,7.5,4
두산,46,23,1,22,72.5,9.5,5
삼성,47,23,0,24,71.5,10.5,6
롯데,47,22,1,24,71.0,11.0,7
KT,47,21,0,26,69.5,12.5,8
한화,48,17,0,31,65.0,17.0,9
NC,48,15,0,33,63.0,19.0,10
