,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,37,25,1,11,161,120,79.0,0.0,1
LG,37,22,0,15,170,146,75.5,3.5,2
두산,35,20,0,15,144,133,74.5,4.5,3
롯데,36,20,1,15,148,132,74.5,4.5,3
삼성,36,19,0,17,161,146,73.0,6.0,5
키움,37,19,0,18,132,142,72.5,6.5,6
KIA,36,18,0,18,170,149,72.0,7.0,7
KT,36,16,0,20,150,145,70.0,9.0,8
NC,37,11,0,26,132,181,64.5,14.5,9
한화,37,11,0,26,129,203,64.5,14.5,9
