,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,113,75,3,35,563,471,92.0,0.0,1
LG,109,66,1,42,572,435,84.0,8.0,2
KT,112,63,2,47,507,429,80.0,12.0,3
키움,115,64,2,49,497,494,79.5,12.5,4
KIA,111,55,1,55,572,522,72.0,20.0,5
롯데,114,51,4,59,471,555,68.0,24.0,6
NC,108,46,3,59,483,503,65.5,26.5,7
두산,109,46,2,61,490,519,64.5,27.5,8
삼성,112,45,2,65,490,575,62.0,30.0,9
한화,111,35,2,74,453,595,52.5,39.5,10
