,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,91,61,3,27,450,364,89.0,0.0,1
키움,93,57,1,35,397,350,83.0,6.0,2
LG,90,54,1,35,460,365,81.5,7.5,3
KT,90,48,2,40,390,359,76.0,13.0,4
KIA,89,46,1,42,457,411,74.0,15.0,5
두산,89,39,2,48,422,424,67.5,21.5,6
롯데,91,38,3,50,372,443,66.0,23.0,7
NC,89,36,2,51,371,407,64.5,24.5,8
삼성,91,37,1,53,386,459,64.0,25.0,9
한화,91,27,2,62,366,489,54.5,34.5,10
