,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,137,86,4,47,693,579,91.5,0.0,1
LG,134,83,2,49,678,487,89.0,2.5,2
키움,140,78,2,60,597,590,81.0,10.5,3
KT,137,76,2,59,597,528,80.5,11.0,4
KIA,136,65,1,70,676,647,69.5,22.0,5
NC,135,62,3,70,618,615,68.0,23.5,6
롯데,138,61,4,73,583,683,66.0,25.5,7
삼성,136,60,2,74,617,670,65.0,26.5,8
두산,135,56,2,77,603,676,61.5,30.0,9
한화,138,44,2,92,538,725,48.0,43.5,10
