,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,110,74,3,33,552,452,92.5,0.0,1
LG,106,64,1,41,560,431,83.5,9.0,2
KT,109,60,2,47,485,421,78.5,14.0,3
키움,112,61,2,49,470,472,78.0,14.5,4
KIA,108,54,1,53,560,508,72.5,20.0,5
롯데,111,49,4,58,456,542,67.5,25.0,6
NC,105,46,3,56,470,485,67.0,25.5,7
두산,106,46,2,58,488,508,66.0,26.5,8
삼성,109,44,2,63,476,558,62.5,30.0,9
한화,108,33,2,73,445,585,52.0,40.5,10
