,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,98,65,3,30,478,398,89.5,0.0,1
키움,99,59,2,38,424,380,82.5,7.0,2
LG,96,57,1,38,498,392,81.5,8.0,3
KT,95,51,2,42,425,378,76.5,13.0,4
KIA,96,48,1,47,489,440,72.5,17.0,5
두산,94,42,2,50,440,451,68.0,21.5,6
롯데,98,41,4,53,407,485,66.0,23.5,7
NC,94,38,3,53,387,438,64.5,25.0,8
삼성,97,40,2,55,420,486,64.5,25.0,8
한화,97,30,2,65,393,513,54.5,35.0,10
