,경기수,승리,무승부,패배,승점,게임차,순위
SSG,103,69,3,31,91.0,0.0,1
LG,99,60,1,38,83.0,8.0,2
키움,104,59,2,43,80.0,11.0,3
KT,100,53,2,45,76.0,15.0,4
KIA,100,49,1,50,71.5,19.5,5
두산,99,44,2,53,67.5,23.5,6
롯데,103,44,4,55,66.5,24.5,7
NC,99,42,3,54,66.0,25.0,8
삼성,101,42,2,57,64.5,26.5,9
한화,100,31,2,67,54.0,37.0,10
