,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,117,76,3,38,578,480,91.0,0.0,1
LG,113,70,1,42,588,439,86.0,5.0,2
키움,120,67,2,51,515,512,80.0,11.0,3
KT,116,64,2,50,515,448,79.0,12.0,4
KIA,115,57,1,57,589,537,72.0,19.0,5
롯데,119,52,4,63,485,580,66.5,24.5,6
NC,112,49,3,60,503,512,66.5,24.5,6
두산,113,48,2,63,502,537,64.5,26.5,8
삼성,116,49,2,65,508,585,64.0,27.0,9
한화,115,35,2,78,465,618,50.5,40.5,10
