,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,100,67,3,30,492,410,90.5,0.0,1
LG,98,59,1,38,515,395,82.5,8.0,2
키움,101,59,2,40,427,397,81.5,9.0,3
KT,97,52,2,43,434,386,76.5,14.0,4
KIA,98,49,1,48,498,451,72.5,18.0,5
두산,96,43,2,51,451,460,68.0,22.5,6
NC,96,40,3,53,411,439,65.5,25.0,7
롯데,100,41,4,55,408,509,65.0,25.5,8
삼성,99,40,2,57,432,500,63.5,27.0,9
한화,99,31,2,66,401,522,54.5,36.0,10
