,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,67,42,3,22,312,252,82.0,0.0,1
키움,66,39,1,26,283,260,78.5,3.5,2
LG,66,37,1,28,320,267,76.5,5.5,3
KIA,64,34,1,29,329,297,74.5,7.5,4
KT,66,31,2,33,258,263,71.0,11.0,5
두산,64,30,1,33,300,293,70.5,11.5,6
삼성,65,31,0,34,275,291,70.5,11.5,6
롯데,64,28,2,34,257,294,69.0,13.0,8
NC,65,25,2,38,250,274,65.5,16.5,9
한화,65,22,1,42,268,361,62.0,20.0,10
