,경기수,승리,무승부,패배,승점,게임차,순위
SSG,68,42,3,23,81.5,0.0,1
키움,67,39,1,27,78.0,3.5,2
LG,67,38,1,28,77.0,4.5,3
KIA,65,34,1,30,74.0,7.5,4
KT,67,32,2,33,71.5,10.0,5
삼성,66,32,0,34,71.0,10.5,6
두산,65,30,1,34,70.0,11.5,7
롯데,65,29,2,34,69.5,12.0,8
NC,66,26,2,38,66.0,15.5,9
한화,66,22,1,43,61.5,20.0,10
