,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,65,40,3,22,296,245,81.0,0.0,1
키움,64,38,1,25,279,256,78.5,2.5,2
LG,64,36,1,27,316,263,76.5,4.5,3
KIA,62,33,1,28,322,288,74.5,6.5,4
KT,64,30,2,32,254,256,71.0,10.0,5
삼성,63,30,0,33,266,284,70.5,10.5,6
두산,62,29,1,32,293,289,70.5,10.5,6
롯데,62,28,2,32,250,278,70.0,11.0,8
NC,63,24,1,38,246,271,65.0,16.0,9
한화,63,22,0,41,265,357,62.5,18.5,10
