,경기수,승리,무승부,패배,승점,게임차,순위
SSG,54,35,2,17,81.0,0.0,1
키움,54,32,0,22,77.0,4.0,2
KIA,53,30,0,23,75.5,5.5,3
LG,54,30,1,23,75.5,5.5,4
삼성,53,26,0,27,71.5,9.5,5
두산,52,24,1,27,70.5,10.5,6
롯데,53,23,2,28,69.5,11.5,7
KT,53,24,0,29,69.5,11.5,8
한화,54,21,0,33,66.0,15.0,9
NC,54,19,0,35,64.0,17.0,10
