,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,131,82,4,45,655,557,90.5,0.0,1
LG,126,77,2,47,643,472,87.0,3.5,2
키움,134,75,2,57,569,559,81.0,9.5,3
KT,130,71,2,57,557,504,79.0,11.5,4
KIA,130,62,1,67,661,616,69.5,21.0,5
NC,127,58,3,66,594,581,68.0,22.5,6
삼성,130,58,2,70,585,643,66.0,24.5,7
롯데,133,58,4,71,554,666,65.5,25.0,8
두산,127,53,2,72,574,632,62.5,28.0,9
한화,130,43,2,85,521,683,51.0,39.5,10
