,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
두산,1,1,0,0,6,4,72.5,0.0,1
LG,1,1,0,0,9,0,72.5,0.0,1
롯데,1,1,0,0,7,2,72.5,0.0,1
SSG,1,1,0,0,4,0,72.5,0.0,1
KT,1,1,0,0,4,1,72.5,0.0,1
삼성,1,0,0,1,1,4,71.5,1.0,6
NC,1,0,0,1,0,4,71.5,1.0,6
키움,1,0,0,1,2,7,71.5,1.0,6
KIA,1,0,0,1,0,9,71.5,1.0,6
한화,1,0,0,1,4,6,71.5,1.0,6
