,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,62,39,3,20,283,234,81.5,0.0,1
키움,61,36,1,24,268,250,78.0,3.5,2
LG,61,34,1,26,304,256,76.0,5.5,3
KIA,60,32,1,27,316,279,74.5,7.0,4
두산,59,28,1,30,287,278,71.0,10.5,5
삼성,60,29,0,31,259,272,71.0,10.5,5
KT,61,28,2,31,243,243,70.5,11.0,7
롯데,60,26,2,32,236,273,69.0,12.5,8
NC,61,23,1,37,237,265,65.0,16.5,9
한화,61,22,0,39,260,343,63.5,18.0,10
