,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,40,26,2,12,182,139,79.0,0.0,1
LG,40,24,0,16,187,153,76.0,3.0,2
두산,38,20,1,17,158,151,73.5,5.5,3
삼성,39,21,0,18,173,156,73.5,5.5,3
키움,40,21,0,19,151,162,73.0,6.0,5
롯데,39,20,1,18,162,159,73.0,6.0,5
KIA,39,20,0,19,192,165,72.5,6.5,7
KT,39,17,0,22,155,161,69.5,9.5,8
한화,40,13,0,27,144,215,65.0,14.0,9
NC,40,13,0,27,159,202,65.0,14.0,9
