,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,49,33,2,14,231,169,81.5,0.0,1
키움,49,29,0,20,216,191,76.5,5.0,2
LG,49,28,0,21,231,199,75.5,6.0,3
KIA,48,27,0,21,247,209,75.0,6.5,4
두산,47,23,1,23,211,202,72.0,9.5,5
삼성,48,23,0,25,201,208,71.0,10.5,6
롯데,48,22,1,25,188,211,70.5,11.0,7
KT,48,21,0,27,186,194,69.0,12.5,8
한화,49,18,0,31,192,273,65.5,16.0,9
NC,49,16,0,33,188,235,63.5,18.0,10
