,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,125,79,4,42,619,524,90.5,0.0,1
LG,121,74,2,45,631,461,86.5,4.0,2
키움,128,71,2,55,538,536,80.0,10.5,3
KT,125,69,2,54,545,491,79.5,11.0,4
KIA,124,62,1,61,646,582,72.5,18.0,5
NC,121,55,3,63,572,555,68.0,22.5,6
롯데,127,55,4,68,525,635,65.5,25.0,7
삼성,124,54,2,68,537,612,65.0,25.5,8
두산,121,50,2,69,536,588,62.5,28.0,9
한화,124,39,2,83,500,665,50.0,40.5,10
