,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,105,71,3,31,518,429,92.0,0.0,1
LG,100,60,1,39,523,406,82.5,9.5,2
키움,106,61,2,43,451,422,81.0,11.0,3
KT,102,55,2,45,458,402,77.0,15.0,4
KIA,102,50,1,51,516,466,71.5,20.5,5
두산,101,44,2,55,466,488,66.5,25.5,6
NC,100,43,3,54,432,450,66.5,25.5,6
롯데,105,45,4,56,424,523,66.5,25.5,6
삼성,103,42,2,59,445,519,63.5,28.5,9
한화,102,31,2,69,420,548,53.0,39.0,10
