,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,111,75,3,33,556,454,93.0,0.0,1
LG,107,65,1,41,569,433,84.0,9.0,2
KT,110,61,2,47,490,422,79.0,14.0,3
키움,113,62,2,49,481,482,78.5,14.5,4
KIA,109,54,1,54,570,519,72.0,21.0,5
롯데,112,50,4,58,458,543,68.0,25.0,6
NC,106,46,3,57,471,487,66.5,26.5,7
두산,107,46,2,59,489,513,65.5,27.5,8
삼성,110,44,2,64,478,562,62.0,31.0,9
한화,109,33,2,74,447,594,51.5,41.5,10
