,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,20,16,0,4,93,54,78.0,0.0,1
LG,20,12,0,8,83,66,74.0,4.0,2
두산,19,11,0,8,63,69,73.5,4.5,3
롯데,19,11,0,8,80,71,73.5,4.5,3
키움,20,11,0,9,68,78,73.0,5.0,5
KIA,19,9,0,10,82,78,71.5,6.5,6
KT,19,8,0,11,71,70,70.5,7.5,7
한화,20,7,0,13,73,92,69.0,9.0,8
삼성,20,7,0,13,85,89,69.0,9.0,8
NC,20,6,0,14,58,89,68.0,10.0,10
