,경기수,승리,무승부,패배,승점,게임차,순위
SSG,123,78,4,41,90.5,0.0,1
LG,119,73,2,44,86.5,4.0,2
키움,126,70,2,54,80.0,10.5,3
KT,123,68,2,53,79.5,11.0,4
KIA,122,61,1,60,72.5,18.0,5
NC,119,53,3,63,67.0,23.5,6
롯데,125,55,4,66,66.5,24.0,7
삼성,122,53,2,67,65.0,25.5,8
두산,119,49,2,68,62.5,28.0,9
한화,122,38,2,82,50.0,40.5,10
