,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,86,57,3,26,433,344,87.5,0.0,1
키움,87,54,1,32,374,320,83.0,4.5,2
LG,84,52,1,31,428,338,82.5,5.0,3
KT,84,44,2,38,362,333,75.0,12.5,4
KIA,83,42,1,40,408,386,73.0,14.5,5
롯데,85,38,3,44,356,386,69.0,18.5,6
두산,84,36,2,46,398,407,67.0,20.5,7
삼성,85,35,0,50,360,433,64.5,23.0,8
NC,83,32,2,49,335,379,63.5,24.0,9
한화,85,25,1,59,337,465,55.0,32.5,10
