,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,107,71,3,33,525,441,91.0,0.0,1
LG,103,63,1,39,548,420,84.0,7.0,2
키움,109,61,2,46,459,440,79.5,11.5,3
KT,105,57,2,46,466,409,77.5,13.5,4
KIA,104,51,1,52,528,483,71.5,19.5,5
롯데,107,47,4,56,433,529,67.5,23.5,6
NC,102,45,3,54,452,462,67.5,23.5,6
두산,103,45,2,56,482,498,66.5,24.5,8
삼성,106,43,2,61,462,540,63.0,28.0,9
한화,104,31,2,71,428,561,52.0,39.0,10
