,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,85,56,3,26,429,343,87.0,0.0,1
키움,86,54,1,31,373,316,83.5,3.5,2
LG,83,51,1,31,422,336,82.0,5.0,3
KT,83,43,2,38,361,333,74.5,12.5,4
KIA,82,42,1,39,406,380,73.5,13.5,5
롯데,84,37,3,44,346,379,68.5,18.5,6
두산,83,35,2,46,387,404,66.5,20.5,7
삼성,84,35,0,49,360,432,65.0,22.0,8
NC,82,32,2,48,332,368,64.0,23.0,9
한화,84,25,1,58,330,455,55.5,31.5,10
