,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,42,28,2,12,196,146,80.0,0.0,1
LG,42,25,0,17,198,161,76.0,4.0,2
키움,42,23,0,19,158,166,74.0,6.0,3
삼성,41,22,0,19,176,162,73.5,6.5,4
KIA,41,22,0,19,201,170,73.5,6.5,4
롯데,41,21,1,19,168,163,73.0,7.0,6
두산,40,20,1,19,161,164,72.5,7.5,7
KT,41,18,0,23,163,169,69.5,10.5,8
NC,42,13,0,29,163,210,64.0,16.0,9
한화,42,13,0,29,148,221,64.0,16.0,9
