,경기수,승리,무승부,패배,승점,게임차,순위
SSG,119,77,3,39,91.0,0.0,1
LG,115,72,1,42,87.0,4.0,2
키움,122,69,2,51,81.0,10.0,3
KT,119,66,2,51,79.5,11.5,4
KIA,118,58,1,59,71.5,19.5,5
롯데,121,53,4,64,66.5,24.5,6
NC,115,49,3,63,65.0,26.0,7
삼성,118,50,2,66,64.0,27.0,8
두산,115,48,2,65,63.5,27.5,9
한화,118,37,2,79,51.0,40.0,10
