,경기수,승리,무승부,패배,승점,게임차,순위
SSG,115,76,3,36,92.0,0.0,1
LG,111,68,1,42,85.0,7.0,2
KT,114,63,2,49,79.0,13.0,3
키움,117,64,2,51,78.5,13.5,4
KIA,113,56,1,56,72.0,20.0,5
롯데,116,52,4,60,68.0,24.0,6
NC,110,48,3,59,66.5,25.5,7
두산,111,47,2,62,64.5,27.5,8
삼성,114,47,2,65,63.0,29.0,9
한화,113,35,2,76,51.5,40.5,10
