,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,60,37,3,20,266,221,80.5,0.0,1
키움,59,35,1,23,256,237,78.0,2.5,2
LG,59,33,1,25,291,245,76.0,4.5,3
KIA,58,31,1,26,303,267,74.5,6.0,4
두산,57,27,1,29,276,265,71.0,9.5,5
삼성,58,28,0,30,254,266,71.0,9.5,5
KT,59,27,2,30,239,230,70.5,10.0,7
롯데,58,25,2,31,223,269,69.0,11.5,8
NC,59,22,1,36,231,260,65.0,15.5,9
한화,59,22,0,37,247,326,64.5,16.0,10
