,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,58,36,3,19,253,214,80.5,0.0,1
키움,57,34,1,22,245,224,78.0,2.5,2
LG,57,32,1,24,280,233,76.0,4.5,3
KIA,56,30,1,25,292,256,74.5,6.0,4
삼성,56,28,0,28,247,250,72.0,8.5,5
두산,55,26,1,28,253,248,71.0,9.5,6
KT,57,25,2,30,223,225,69.5,11.0,7
롯데,56,24,2,30,212,254,69.0,11.5,8
한화,57,22,0,35,238,301,65.5,15.0,9
NC,57,20,1,36,217,255,64.0,16.5,10
