,경기수,승리,무승부,패배,득점,실점,승점,게임차,순위
SSG,22,17,1,4,102,56,78.5,0.0,1
두산,21,13,0,8,77,78,74.5,4.0,2
LG,22,13,0,9,94,73,74.0,4.5,3
롯데,21,11,1,9,82,80,73.0,5.5,4
키움,22,12,0,10,77,83,73.0,5.5,4
KIA,21,10,0,11,93,86,71.5,7.0,6
KT,21,9,0,12,79,81,70.5,8.0,7
한화,22,8,0,14,78,101,69.0,9.5,8
삼성,22,8,0,14,92,100,69.0,9.5,8
NC,22,6,0,16,67,103,67.0,11.5,10
