일자,시각,경기결과,중계사,구장
9.27,18:30,LG  1:0  한화,MBC SPORTS+,"대전  setStadiumWeather('대전', 'stadiumWeather0');"
9.27,18:30,두산  1:0  KT,"KBS N SPORTS, SPOTV2","수원  setStadiumWeather('수원', 'stadiumWeather1');"
9.27,18:30,키움  4:4  NC,"SBS SPORTS, SPOTV","창원  setStadiumWeather('창원', 'stadiumWeather2');"
